Country,Region/State,"Zip/Postal Code","Weight (and above)","Shipping Price"
AU,*,*,0.0000,19.9000
AU,*,*,0.5100,22.9000
AU,*,*,1.0100,25.9000
AU,*,*,1.5100,28.9000
AU,*,*,2.0100,31.9000
AU,*,*,2.5100,34.9000
AU,*,*,3.0100,37.9000
AU,*,*,3.5100,40.9000
AU,*,*,4.0100,43.9000
AU,*,*,4.5100,46.9000
AU,*,*,5.0100,49.9000
AU,*,*,5.5100,52.9000
AU,*,*,6.0100,55.9000
AU,*,*,6.5100,58.9000
AU,*,*,7.0100,61.9000
AU,*,*,7.5100,64.9000
AU,*,*,8.0100,67.9000
AU,*,*,8.5100,70.9000
AU,*,*,9.0100,73.9000
CA,*,*,0.0000,19.9000
CA,*,*,0.5100,22.9000
CA,*,*,1.0100,25.9000
CA,*,*,1.5100,28.9000
CA,*,*,2.0100,31.9000
CA,*,*,2.5100,34.9000
CA,*,*,3.0100,37.9000
CA,*,*,3.5100,40.9000
CA,*,*,4.0100,43.9000
CA,*,*,4.5100,46.9000
CA,*,*,5.0100,49.9000
CA,*,*,5.5100,52.9000
CA,*,*,6.0100,55.9000
CA,*,*,6.5100,58.9000
CA,*,*,7.0100,61.9000
CA,*,*,7.5100,64.9000
CA,*,*,8.0100,67.9000
CA,*,*,8.5100,70.9000
CA,*,*,9.0100,73.9000
DE,*,*,0.0000,119.9000
DE,*,*,0.5100,122.9000
DE,*,*,1.0100,125.9000
DE,*,*,1.5100,128.9000
DE,*,*,2.0100,131.9000
DE,*,*,2.5100,134.9000
DE,*,*,3.0100,137.9000
DE,*,*,3.5100,140.9000
DE,*,*,4.0100,143.9000
DE,*,*,4.5100,146.9000
DE,*,*,5.0100,149.9000
DE,*,*,5.5100,152.9000
DE,*,*,6.0100,155.9000
DE,*,*,6.5100,158.9000
DE,*,*,7.0100,161.9000
DE,*,*,7.5100,164.9000
DE,*,*,8.0100,167.9000
DE,*,*,8.5100,170.9000
DE,*,*,9.0100,173.9000
ES,*,*,0.0000,24.9000
